,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT,CAPRURINT,CAPRURLOC,CAPRURTOT,MNTRURINT,MNTRURLOC,MNTRURTOT,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,URBMIL+4,URBMIL-4,RURMIL+4,RURMIL-4,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,VMTRURINT,VMTRURLOC,VMTRURTOT,VMTURBINT,VMTURBFWY,VMTURBLOC,VMTURBTOT,CSTADMHWY,CLOCADMRD,CFEDROAD,CTOTAL,MSTADMHWY,MLOCADMRD,MREDROAD,MTOTAL,ADM_MISC,LAW_SAFETY,INTEREST,BONDRETIRE,TOTALDISB
Alabama,125348,77005,202353,7008,87510,94518,29484,238395,267879,7412,55938,63350,154832,315400,470232,14420,143448,157868,602,=+V2-T2,72828,297,21,=+Z2-W2-X2,92209,43,254,0,602,56,16.9,=100-AE2-AF2,72.7,14.3,=100-AH2-AI2,0,0,0,1,0,0,4442,18361,22803,4208,326,18425,22959,372518,42839,974,416331,134450,299897,14,434361,72558,57359,11128,20436,1012173
Alaska,35459,71217,106676,1369,19907,21276,50659,84665,135324,3744,8380,12124,86118,155882,242000,5113,28287,33400,1003,=+V3-T3,12107,54,0,=+Z3-W3-X3,13849,10,44,0,1003,57.9,39.7,=100-AE3-AF3,85.1,14.2,=100-AH3-AI3,1,0,0,0,0,0,677,1328,2005,450,0,1386,1836,213000,60888,4942,278830,121900,34166,831,156897,30088,40116,13411,21623,540965
Arizona,48078,229257,277335,=#REF!,=#REF!,=#REF!,66574,136890,203464,NA,=#REF!,NA,114652,366147,480799,NA,=#REF!,68839,987,=+V4-T4,39423,202,70,=+Z4-W4-X4,55763,54,148,0,987,57.7,26,=100-AE4-AF4,58.7,33.2,=100-AH4-AI4,0,0,0,0,0,0,5110,8678,13788,3003,1344,16912,21259,488274,205236,19046,712556,68907,84516,10641,164064,70527,78446,154305,359239,1539137
Arkansas,6623,132474,139097,1387,24221,25608,26357,196878,223235,7154,60650,67804,32980,329352,362332,8541,84871,93412,412,=+V5-T5,69597,131,94,=+Z5-W5-X5,77192,45,86,3,409,56.5,13.4,=100-AE5-AF5,68.8,14.8,=100-AH5-AI5,0,0,0,1,0,0,3140,11908,15048,1758,717,5558,8033,325826,72239,868,398933,113232,130379,310,243921,42524,45163,661,449,731651
California,513828,881208,1395036,51921,80647,132568,61578,678709,740287,44901,164991,209892,575406,1559917,2135323,96822,245638,342460,1356,=+V6-T6,88140,1067,1393,=+Z6-W6-X6,169201,940,127,286,1070,69.3,17.2,=100-AE6-AF6,86.2,110,=100-AH6-AI6,0,0,1,0,0,0,14322,37875,52197,52566,42332,115453,210351,2089004,1700434,15983,3805421,511977,1474922,1685,1988584,1046908,1182559,58263,35336,8117071
Colorado,92615,88050,180665,7308,36948,44256,80658,79953,160611,18067,62885,80952,173273,168003,341276,25375,99833,125208,768,=+V7-T7,65818,186,216,=+Z7-W7-X7,78721,62,124,21,747,79.3,5.3,=100-AE7-AF7,92.7,3.9,=100-AH7-AI7,0,0,0,0,0,0,3661,8913,12574,3793,2406,12035,18234,386491,179430,3453,569374,128060,236345,921,365326,52531,96886,43258,63757,1191132
Connecticut,183530,329367,512897,3246,26674,29920,30305,44920,75225,1366,18028,19394,213835,374287,588122,4612,44702,49314,101,=+V8-T8,8814,242,197,=+Z8-W8-X8,20357,168,74,22,79,79.5,13.1,=100-AE8-AF8,83.2,12,=100-AH8-AI8,0,0,0,0,0,1,1357,4711,6068,6758,2623,11010,20391,691154,70521,0,761675,60753,156338,0,217091,75613,17130,168579,206380,1446468
Delaware,22297,87042,109339,3083,25363,28446,0,96196,96196,0,673,673,22297,183238,205535,3083,26036,29119,0,=+V9-T9,3675,41,9,=+Z9-W9-X9,5544,30,11,0,0,100,0,0,63.5,25.2,=100-AH9-AI9,0,0,0,1,0,0,0,2685,2685,989,38,3180,4207,193959,3375,14559,211893,55562,8148,0,63710,50696,36496,46059,26331,435185
Dist.  of  Col.,21573,86621,108194,1848,26106,27954,0,0,0,0,0,0,21573,86621,108194,1848,26106,27954,0,=+V10-T10,0,14,19,=+Z10-W10-X10,1107,10,4,0,0,100,0,0,97.1,2.6,=100-AH10-AI10,0,0,0,1,0,0,0,0,0,469,393,2700,3562,0,101042,5176,106218,0,28524,12,28536,19715,0,73135,46061,273665
Florida,225241,864268,1089509,3581,111397,114978,94234,501226,595460,8772,73647,82419,319475,1365494,1684969,12353,185044,197397,1019,=+V11-T11,63630,424,284,=+Z11-W11-X11,112808,205,219,100,919,74.8,11.9,=100-AE11-AF11,82.3,11.7,=100-AH11-AI11,0,0,0,1,0,0,10183,24818,35001,12034,4319,68514,84867,1440203,681642,682,2122527,282812,366381,312,649505,428351,271756,232516,153681,3858336
Georgia,169131,255256,424387,6644,44293,50937,56115,257194,313309,6110,106470,112580,225246,512450,737696,12754,150763,163517,809,=+V12-T12,84605,434,167,=+Z12-W12-X12,110879,271,163,115,694,61.1,19.3,=100-AE12-AF12,66.7,24.9,=100-AH12-AI12,0,0,0,1,0,0,8419,23753,32172,11889,1646,32197,45732,699149,174244,724,874117,185909,260614,15,446538,113627,127181,46645,300966,1909074
Hawaii,191402,39912,231314,1960,4246,6206,20447,51985,72432,700,8175,8875,211849,91897,303746,2660,12421,15081,0,=+V13-T13,2307,44,53,=+Z13-W13-X13,4106,38,6,0,0,100,0,0,79.3,20.1,=100-AH13-AI13,0,0,0,0,0,0,0,2148,2148,1533,804,3581,5918,316797,23410,263,340470,19793,50294,0,70087,38613,16365,18968,22637,507140
