Regression of Automobile Miles and Age on Price,,,,sources: www.autoweb.com (12/17/95),,,,,,,,,
"Model (1=Taurus,0=Accord)",Age (1996-Year),Miles,Age (1996-Year),Prices (asking),Age (1996-Year),,,,,,,,Coefficients
0,1,11200,1,19500,1,=LN(A3+1),=LN(B3+1),=LN(C3+1),=LN(E3+1),=$N$3+$N$4*A3+$N$5*B3+$N$6*C3,,Intercept,20053.4963539546
1,2,38800,2,11994,2,=LN(A4+1),=LN(B4+1),=LN(C4+1),=LN(E4+1),=$N$3+$N$4*A4+$N$5*B4+$N$6*C4,,Taurus,-2738.23857183961
0,2,43593,2,16995,2,=LN(A5+1),=LN(B5+1),=LN(C5+1),=LN(E5+1),=$N$3+$N$4*A5+$N$5*B5+$N$6*C5,,Year,-1351.34145309553
0,2,18344,2,16995,2,=LN(A6+1),=LN(B6+1),=LN(C6+1),=LN(E6+1),=$N$3+$N$4*A6+$N$5*B6+$N$6*C6,,Mile,-0.023417924364287
0,2,23000,2,15900,2,=LN(A7+1),=LN(B7+1),=LN(C7+1),=LN(E7+1),=$N$3+$N$4*A7+$N$5*B7+$N$6*C7,,,
0,2,16000,2,15850,2,=LN(A8+1),=LN(B8+1),=LN(C8+1),=LN(E8+1),=$N$3+$N$4*A8+$N$5*B8+$N$6*C8,,,
0,2,53093,2,15995,2,=LN(A9+1),=LN(B9+1),=LN(C9+1),=LN(E9+1),=$N$3+$N$4*A9+$N$5*B9+$N$6*C9,,,
0,2,21000,2,12700,2,=LN(A10+1),=LN(B10+1),=LN(C10+1),=LN(E10+1),=$N$3+$N$4*A10+$N$5*B10+$N$6*C10,,,
0,3,42143,3,14995,3,=LN(A11+1),=LN(B11+1),=LN(C11+1),=LN(E11+1),=$N$3+$N$4*A11+$N$5*B11+$N$6*C11,,,
0,3,49195,3,16500,3,=LN(A12+1),=LN(B12+1),=LN(C12+1),=LN(E12+1),=$N$3+$N$4*A12+$N$5*B12+$N$6*C12,,,
0,3,40950,3,19665,3,=LN(A13+1),=LN(B13+1),=LN(C13+1),=LN(E13+1),=$N$3+$N$4*A13+$N$5*B13+$N$6*C13,,,
0,3,46000,3,12950,3,=LN(A14+1),=LN(B14+1),=LN(C14+1),=LN(E14+1),=$N$3+$N$4*A14+$N$5*B14+$N$6*C14,,,
1,4,54580,4,12880,4,=LN(A15+1),=LN(B15+1),=LN(C15+1),=LN(E15+1),=$N$3+$N$4*A15+$N$5*B15+$N$6*C15,,,
1,4,78653,4,9880,4,=LN(A16+1),=LN(B16+1),=LN(C16+1),=LN(E16+1),=$N$3+$N$4*A16+$N$5*B16+$N$6*C16,,,
0,4,50149,4,13995,4,=LN(A17+1),=LN(B17+1),=LN(C17+1),=LN(E17+1),=$N$3+$N$4*A17+$N$5*B17+$N$6*C17,,,
0,4,106869,4,12980,4,=LN(A18+1),=LN(B18+1),=LN(C18+1),=LN(E18+1),=$N$3+$N$4*A18+$N$5*B18+$N$6*C18,,,
0,4,90000,4,12495,4,=LN(A19+1),=LN(B19+1),=LN(C19+1),=LN(E19+1),=$N$3+$N$4*A19+$N$5*B19+$N$6*C19,,,
0,4,120000,4,10900,4,=LN(A20+1),=LN(B20+1),=LN(C20+1),=LN(E20+1),=$N$3+$N$4*A20+$N$5*B20+$N$6*C20,,,
0,5,72861,5,12995,5,=LN(A21+1),=LN(B21+1),=LN(C21+1),=LN(E21+1),=$N$3+$N$4*A21+$N$5*B21+$N$6*C21,,,
0,5,87649,5,12995,5,=LN(A22+1),=LN(B22+1),=LN(C22+1),=LN(E22+1),=$N$3+$N$4*A22+$N$5*B22+$N$6*C22,,,
0,5,70000,5,12000,5,=LN(A23+1),=LN(B23+1),=LN(C23+1),=LN(E23+1),=$N$3+$N$4*A23+$N$5*B23+$N$6*C23,,,
0,6,78900,6,8000,6,=LN(A24+1),=LN(B24+1),=LN(C24+1),=LN(E24+1),=$N$3+$N$4*A24+$N$5*B24+$N$6*C24,,,
0,6,97000,6,10500,6,=LN(A25+1),=LN(B25+1),=LN(C25+1),=LN(E25+1),=$N$3+$N$4*A25+$N$5*B25+$N$6*C25,,,
1,7,110000,7,2000,7,=LN(A26+1),=LN(B26+1),=LN(C26+1),=LN(E26+1),=$N$3+$N$4*A26+$N$5*B26+$N$6*C26,,,
1,7,130000,7,5500,7,=LN(A27+1),=LN(B27+1),=LN(C27+1),=LN(E27+1),=$N$3+$N$4*A27+$N$5*B27+$N$6*C27,,,
0,7,71000,7,12000,7,=LN(A28+1),=LN(B28+1),=LN(C28+1),=LN(E28+1),=$N$3+$N$4*A28+$N$5*B28+$N$6*C28,,,
1,8,80000,8,4600,8,=LN(A29+1),=LN(B29+1),=LN(C29+1),=LN(E29+1),=$N$3+$N$4*A29+$N$5*B29+$N$6*C29,,,
0,8,96654,8,6000,8,=LN(A30+1),=LN(B30+1),=LN(C30+1),=LN(E30+1),=$N$3+$N$4*A30+$N$5*B30+$N$6*C30,,,
0,8,120000,8,4900,8,=LN(A31+1),=LN(B31+1),=LN(C31+1),=LN(E31+1),=$N$3+$N$4*A31+$N$5*B31+$N$6*C31,,,
0,8,94000,8,5500,8,=LN(A32+1),=LN(B32+1),=LN(C32+1),=LN(E32+1),=$N$3+$N$4*A32+$N$5*B32+$N$6*C32,,,
1,9,76000,9,3200,9,=LN(A33+1),=LN(B33+1),=LN(C33+1),=LN(E33+1),=$N$3+$N$4*A33+$N$5*B33+$N$6*C33,,,
0,9,91000,9,5850,9,=LN(A34+1),=LN(B34+1),=LN(C34+1),=LN(E34+1),=$N$3+$N$4*A34+$N$5*B34+$N$6*C34,,,
0,9,103000,9,4000,9,=LN(A35+1),=LN(B35+1),=LN(C35+1),=LN(E35+1),=$N$3+$N$4*A35+$N$5*B35+$N$6*C35,,,
1,10,128000,10,3250,10,=LN(A36+1),=LN(B36+1),=LN(C36+1),=LN(E36+1),=$N$3+$N$4*A36+$N$5*B36+$N$6*C36,,,
