,,CAPITAL OUTLAY,,,,,MAINTENANCE,,,,,,,
,STATE,LOCAL,LOCAL,FEDERAL,,STATE,LOCAL,LOCAL,FEDERAL,,ADMINISTRATION,HIGHWAY,,
STATE,ADMINISTERED,RURAL,MUNICIPAL,ROADS AND,TOTAL,ADMINISTERED,RURAL,MUNICIPAL,ROADS AND,TOTAL,AND,POLICE,BOND,TOTAL
,HIGHWAYS,ROADS,STREETS,UNCLASSIFIES,,HIGHWAYS,ROADS,STREETS,UNCLASSIFIES,,MISCELLANEOUS,AND SAFETY,RETIREMENT,DISBURSEMENTS
Alabama,324946,55267,8905,1135,=E5+D5+C5+B5,50687,100072,107265,631,=J5+I5+H5+G5,53667,44955,,
Alaska,146578,24075,84061,12341,=E6+D6+C6+B6,105463,7365,26430,3054,=J6+I6+H6+G6,37004,21201,,
Arizona,596757,92583,200785,16945,=E7+D7+C7+B7,48938,35000,41000,11709,=J7+I7+H7+G7,79452,75950,,
Arkansas,241304,49650,20985,2967,=E8+D8+C8+B8,106118,47000,48000,1865,=J8+I8+H8+G8,32819,31006,,
California,1246936,284077,661079,41966,=E9+D9+C9+B9,429340,350864,734489,9292,=J9+I9+H9+G9,427379,805099,,
Colorado,282624,50063,98442,21412,=E10+D10+C10+B10,107094,98735,86934,4030,=J10+I10+H10+G10,57485,82763,,
Connecticut,451068,13224,40935,,=E11+D11+C11+B11,74991,26484,154306,,=J11+I11+H11+G11,51107,62397,,
Delaware,109779,,4270,629,=E12+D12+C12+B12,32387,,6752,,=J12+I12+H12+G12,20858,37292,,
Dist. of Col.,,,84006,1667,=E13+D13+C13+B13,,,28025,3806,=J13+I13+H13+G13,17857,7445,,
Florida,1190279,288390,133938,4380,=E14+D14+C14+B14,177599,309735,218252,2722,=J14+I14+H14+G14,107230,238386,,
Georgia,680558,100495,25416,4796,=E15+D15+C15+B15,188355,222985,105056,1411,=J15+I15+H15+G15,91638,191135,,
Hawaii,64692,34467,5368,,=E16+D16+C16+B16,13719,13141,20297,774,=J16+I16+H16+G16,27985,9916,,
Idaho,82976,22625,3304,28346,=E17+D17+C17+B17,32633,47969,15919,6078,=J17+I17+H17+G17,26223,18867,,
Illinois,1010512,235589,155822,555,=E18+D18+C18+B18,243745,257315,283195,347,=J18+I18+H18+G18,198753,185680,,
Indiana,202891,141732,100514,417,=E19+D19+C19+B19,217676,103721,36041,811,=J19+I19+H19+G19,222996,94144,,
Iowa,258299,111997,99811,17,=E20+D20+C20+B20,92950,160107,84573,126,=J20+I20+H20+G20,108483,43799,,
Kansas,271191,52720,37146,85,=E21+D21+C21+B21,73667,160000,82000,390,=J21+I21+H21+G21,52523,,,
Kentucky,461063,82287,32198,2786,=E22+D22+C22+B22,138861,49991,25096,1275,=J22+I22+H22+G22,71931,,,
Louisiana,466450,21314,115710,1405,=E23+D23+C23+B23,62798,73133,77000,700,=J23+I23+H23+G23,83549,,,
Maine,96420,4998,13547,174,=E24+D24+C24+B24,79396,32681,51895,292,=J24+I24+H24+G24,14930,,,
Maryland,616208,124211,147764,4105,=E25+D25+C25+B25,121036,80816,60909,1795,=J25+I25+H25+G25,103828,,,
Massachusetts,299998,27856,142095,703,=E26+D26+C26+B26,141189,28340,199715,1855,=J26+I26+H26+G26,177363,,,
Michigan,475536,60066,171815,4246,=E27+D27+C27+B27,167293,525833,180000,1615,=J27+I27+H27+G27,117106,,,
Minnesota,490026,208947,277816,5858,=E28+D28+C28+B28,109658,196000,148687,2729,=J28+I28+H28+G28,97917,,,
Mississippi,229140,75009,28831,3512,=E29+D29+C29+B29,41761,123766,61877,2286,=J29+I29+H29+G29,21126,,,
Missouri,311294,45345,108781,4583,=E30+D30+C30+B30,190700,108516,92840,1493,=J30+I30+H30+G30,108804,,,
Montana,113886,36720,2959,29511,=E31+D31+C31+B31,33455,36727,15994,7736,=J31+I31+H31+G31,19994,,,
Nebraska,123117,52150,48869,182,=E32+D32+C32+B32,45776,76979,34099,478,=J32+I32+H32+G32,28332,,,
Nevada,110207,20284,5190,1938,=E33+D33+C33+B33,28260,16852,9500,1649,=J33+I33+H33+G33,31912,,,
New Hampshire,74813,10425,18297,529,=E34+D34+C34+B34,75003,27000,30000,223,=J34+I34+H34+G34,41043,,,
New Jersey,884560,57606,70039,68,=E35+D35+C35+B35,231832,48716,231167,1147,=J35+I35+H35+G35,188499,,,
New Mwxico,219743,22490,9022,11463,=E36+D36+C36+B36,69997,16684,15748,7523,=J36+I36+H36+G36,60875,,,
New York,998444,357001,557771,585,=E37+D37+C37+B37,449168,449434,743424,2788,=J37+I37+H37+G37,314884,,,
Nothe Carolina,473769,,66224,9918,=E38+D38+C38+B38,335731,,71727,3044,=J38+I38+H38+G38,77093,,,
Norht Dakota,74443,42526,17579,10022,=E39+D39+C39+B39,30320,39016,13268,1844,=J39+I39+H39+G39,14862,,,
Ohio,644731,120593,207073,527,=E40+D40+C40+B40,222868,219176,258849,621,=J40+I40+H40+G40,244181,,,
Oklahoma,267255,115262,45000,2492,=E41+D41+C41+B41,108343,84898,70000,425,=J41+I41+H41+G41,78984,,,
Oregon,209901,70764,77881,41192,=E42+D42+C42+B42,84985,76532,40170,28763,=J42+I42+H42+G42,52340,,,
Pennsylvania,1373832,62000,71000,1317,=E43+D43+C43+B43,597486,215025,205000,3121,=J43+I43+H43+G43,168324,,,
Rhode Island,132734,550,223000,,=E44+D44+C44+B44,24131,1200,10500,21,=J44+I44+H44+G44,10212,,,
South Carolina,282860,15362,8909,1091,=E45+D45+C45+B45,135245,21264,19470,769,=J45+I45+H45+G45,37740,,,
South Dakota,84890,29091,26067,2293,=E46+D46+C46+B46,31509,39925,13999,3086,=J46+I46+H46+G46,21718,,,
Tennessee,355073,150952,40182,10331,=E47+D47+C47+B47,154738,97853,63624,1601,=J47+I47+H47+G47,46663,,,
Texas,1882854,387603,481985,6547,=E48+D48+C48+B48,496811,264351,272855,2300,=J48+I48+H48+G48,388237,,,
Utah,173728,16170,17460,12937,=E49+D49+C49+B49,47635,27400,29930,1947,=J49+I49+H49+G49,29302,,,
Vermont,50053,15228,14185,423,=E50+D50+C50+B50,27440,33792,10399,162,=J50+I50+H50+G50,14239,,,
Virginia,846972,37000,52871,13510,=E51+D51+C51+B51,454582,38000,122513,4383,=J51+I51+H51+G51,78390,,,
Washington,456172,99036,143123,32978,=E52+D52+C52+B52,152228,122213,60864,11734,=J52+I52+H52+G52,128415,,,
West Virginia,345238,,11300,6564,=E53+D53+C53+B53,124167,,43269,953,=J53+I53+H53+G53,45061,,,
Wisconsin,297188,121699,147808,6294,=E54+D54+C54+B54,125229,166116,146189,1101,=J54+I54+H54+G54,99425,,,
Wyoming,136867,16367,17034,17688,=E55+D55+C55+B55,44670,18982,14584,2542,=J55+I55+H55+G55,23461,,,
