"TOTAL  DISBURSEMENTS  FOR  HIGHWAYS,  ALL  UNITS  OF  GOVERNMENT  -  1991",,,,,,,,,,,,,
"COMPILED  FROM  REPORTS  OF  FEDERAL,",,,,,,,,,,,,,"""TABLE  HF-2"
STATE  AND  LOCAL  AUTHORITIES,,(THOUSANDS  OF  DOLLARS),,,,,,,,,,,"""OCTOBER  1993"
,CAPITAL  OUTLAY,,,,MAINTENANCE,,,,ADMIN-,HIGHWAY,,,
,,,,,,,,,ISTRATION,LAW,,BOND,
,STATE,LOCALLY,FEDERAL,,STATE,LOCALLY,FEDERAL,,AND,ENFORCEMENT,INTEREST,RETIREMENT,TOTAL
STATE,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL,ADMINISTERED,ADMINISTERED,ROADS AND,TOTAL,MISCEL-,AND,,3/,DISBURSEMENTS
,HIGHWAYS,ROADS,UNCLASSIFIED,2/,HIGHWAYS,ROADS,UNCLASSIFIED,,LANEOUS,SAFETY,,,
Alabama,377593,46065,805,424463,123160,294461,16,417637,70492,51904,11618,40692,1016806
Alaska,192891,65474,3800,262165,121537,36113,531,158181,33568,40366,16953,32881,544114
Arizona,614532,198795,12564,825891,65265,78388,10948,154601,87611,78905,133726,352412,1633146
Arkansas,260433,88672,1114,350219,95817,170713,287,266817,25955,45545,362,444,689342
California,1977895,1571260,14349,3563504,458579,1384281,1824,1844684,879210,1419801,52708,31183,7791090
Colorado,374536,218072,5627,598235,119690,250591,783,371064,50813,92710,46659,26519,1186000
Connecticut,847335,92673,0,940008,84383,213468,0,297851,56802,49826,140298,83489,1568274
Delaware,207218,3598,11239,222055,48131,7578,0,55709,42295,36432,25171,11197,392859
Dist.  of  Col.,0,122078,1980,124058,0,30152,60,30212,12191,9247,73254,49219,298181
Florida,1141425,670006,3255,1814686,240188,347862,546,588596,304447,248868,201289,109008,3266894
Georgia,791496,156692,178,948366,200896,252157,15,453068,112962,125928,46211,108525,1795060
