STATE,,,,,,,,,RURAL,RURAL,URBAN,URBAN,,,,,,TOTAL,
,ALASKA DUMMY,NY DUMMY,CA DUMMY,SE DUMMY,MIDWEST DUMMY,NE DUMMY (incl NY),,,INTERSTATE,NON-INTERSTATE,INTERSTATE + Other Freeways,NON-INTERSTATE,,,,,,OPS & MAINT,
,ALASKA,NEWYORK,CALIFORNIA,SOUTHEAST,MIDWEST,NORTHEAST,RURTOT,URBTOT,RURINT,RURLOC,URBINT,URBLOC,INTTOT,%URBINT,LOCTOT,%URBLOC,TOTVMT,OPSTOT,TOT%URB
Alabama,0,0,0,1,0,0,=+J4+K4,=+L4+M4,4442,18361,=4208+326,18425,=+J4+L4,=+L4/N4,=+K4+M4,=+M4/P4,=+N4+P4,434361,=+(L4+M4)/R4
Alaska,1,0,0,0,0,0,=+J5+K5,=+L5+M5,677,1328,450,1386,=+J5+L5,=+L5/N5,=+K5+M5,=+M5/P5,=+N5+P5,156897,=+(L5+M5)/R5
Arizona,0,0,0,0,0,0,=+J6+K6,=+L6+M6,5110,8678,=3003+1344,16912,=+J6+L6,=+L6/N6,=+K6+M6,=+M6/P6,=+N6+P6,164064,=+(L6+M6)/R6
Arkansas,0,0,0,1,0,0,=+J7+K7,=+L7+M7,3140,11908,=1758+717,5558,=+J7+L7,=+L7/N7,=+K7+M7,=+M7/P7,=+N7+P7,243921,=+(L7+M7)/R7
California,0,0,1,0,0,0,=+J8+K8,=+L8+M8,14322,37875,=52566+42332,115453,=+J8+L8,=+L8/N8,=+K8+M8,=+M8/P8,=+N8+P8,1988584,=+(L8+M8)/R8
Colorado,0,0,0,0,0,0,=+J9+K9,=+L9+M9,3661,8913,=3793+2406,12035,=+J9+L9,=+L9/N9,=+K9+M9,=+M9/P9,=+N9+P9,365326,=+(L9+M9)/R9
Connecticut,0,0,0,0,0,1,=+J10+K10,=+L10+M10,1357,4711,=6758+2623,11010,=+J10+L10,=+L10/N10,=+K10+M10,=+M10/P10,=+N10+P10,217091,=+(L10+M10)/R10
Delaware,0,0,0,1,0,0,=+J11+K11,=+L11+M11,0,2685,=989+38,3180,=+J11+L11,=+L11/N11,=+K11+M11,=+M11/P11,=+N11+P11,63710,=+(L11+M11)/R11
Dist.  of  Col.,0,0,0,1,0,0,=+J12+K12,=+L12+M12,0,0,=469+393,2700,=+J12+L12,=+L12/N12,=+K12+M12,=+M12/P12,=+N12+P12,28536,=+(L12+M12)/R12
Florida,0,0,0,1,0,0,=+J13+K13,=+L13+M13,10183,24818,=12034+4319,68514,=+J13+L13,=+L13/N13,=+K13+M13,=+M13/P13,=+N13+P13,649505,=+(L13+M13)/R13
Georgia,0,0,0,1,0,0,=+J14+K14,=+L14+M14,8419,23753,=11889+1646,32197,=+J14+L14,=+L14/N14,=+K14+M14,=+M14/P14,=+N14+P14,446538,=+(L14+M14)/R14
Hawaii,0,0,0,0,0,0,=+J15+K15,=+L15+M15,0,2148,=1533+804,3581,=+J15+L15,=+L15/N15,=+K15+M15,=+M15/P15,=+N15+P15,70087,=+(L15+M15)/R15
Idaho,0,0,0,0,0,0,=+J16+K16,=+L16+M16,1667,5540,741,2816,=+J16+L16,=+L16/N16,=+K16+M16,=+M16/P16,=+N16+P16,134567,=+(L16+M16)/R16
Illinois,0,0,0,0,1,0,=+J17+K17,=+L17+M17,8428,19826,=14447+1047,43894,=+J17+L17,=+L17/N17,=+K17+M17,=+M17/P17,=+N17+P17,993150,=+(L17+M17)/R17
Indiana,0,0,0,0,1,0,=+J18+K18,=+L18+M18,6646,22606,=5537+774,21509,=+J18+L18,=+L18/N18,=+K18+M18,=+M18/P18,=+N18+P18,416477,=+(L18+M18)/R18
Iowa,0,0,0,0,1,0,=+J19+K19,=+L19+M19,3406,11958,1554,7008,=+J19+L19,=+L19/N19,=+K19+M19,=+M19/P19,=+N19+P19,417838,=+(L19+M19)/R19
Kansas,0,0,0,0,1,0,=+J20+K20,=+L20+M20,2573,10317,=2233+905,8135,=+J20+L20,=+L20/N20,=+K20+M20,=+M20/P20,=+N20+P20,277164,=+(L20+M20)/R20
Kentucky,0,0,0,1,0,0,=+J21+K21,=+L21+M21,4737,16656,=4384+559,11726,=+J21+L21,=+L21/N21,=+K21+M21,=+M21/P21,=+N21+P21,263203,=+(L21+M21)/R21
Louisiana,0,0,0,1,0,0,=+J22+K22,=+L22+M22,4197,12860,=3847+488,12463,=+J22+L22,=+L22/N22,=+K22+M22,=+M22/P22,=+N22+P22,254019,=+(L22+M22)/R22
Maine,0,0,0,0,0,1,=+J23+K23,=+L23+M23,1725,7239,=480+95,2612,=+J23+L23,=+L23/N23,=+K23+M23,=+M23/P23,=+N23+P23,213313,=+(L23+M23)/R23
Maryland,0,0,0,1,0,0,=+J24+K24,=+L24+M24,2913,9889,=9086+3406,16602,=+J24+L24,=+L24/N24,=+K24+M24,=+M24/P24,=+N24+P24,349237,=+(L24+M24)/R24
Massachusetts,0,0,0,0,0,1,=+J25+K25,=+L25+M25,2176,6615,=10733+4490,23334,=+J25+L25,=+L25/N25,=+K25+M25,=+M25/P25,=+N25+P25,390193,=+(L25+M25)/R25
Michigan,0,0,0,0,1,0,=+J26+K26,=+L26+M26,5614,25620,=12601+3965,36419,=+J26+L26,=+L26/N26,=+K26+M26,=+M26/P26,=+N26+P26,782040,=+(L26+M26)/R26
Minnesota,0,0,0,0,1,0,=+J27+K27,=+L27+M27,3201,16769,=5320+2216,13656,=+J27+L27,=+L27/N27,=+K27+M27,=+M27/P27,=+N27+P27,541583,=+(L27+M27)/R27
Mississippi,0,0,0,1,0,0,=+J28+K28,=+L28+M28,2951,14570,=1383+185,7150,=+J28+L28,=+L28/N28,=+K28+M28,=+M28/P28,=+N28+P28,243481,=+(L28+M28)/R28
Missouri,0,0,0,0,1,0,=+J29+K29,=+L29+M29,5504,19464,=8497+2326,17463,=+J29+L29,=+L29/N29,=+K29+M29,=+M29/P29,=+N29+P29,433159,=+(L29+M29)/R29
Montana ,0,0,0,0,0,0,=+J30+K30,=+L30+M30,1928,4574,=184+0,1839,=+J30+L30,=+L30/N30,=+K30+M30,=+M30/P30,=+N30+P30,67621,=+(L30+M30)/R30
Nebraska,0,0,0,0,1,0,=+J31+K31,=+L31+M31,1994,6966,=734+93,4834,=+J31+L31,=+L31/N31,=+K31+M31,=+M31/P31,=+N31+P31,179015,=+(L31+M31)/R31
Nevada,0,0,0,0,0,0,=+J32+K32,=+L32+M32,1522,2957,=1147+579,4692,=+J32+L32,=+L32/N32,=+K32+M32,=+M32/P32,=+N32+P32,74470,=+(L32+M32)/R32
New  Hampshire,0,0,0,0,0,1,=+J33+K33,=+L33+M33,1330,5025,=712+448,2552,=+J33+L33,=+L33/N33,=+K33+M33,=+M33/P33,=+N33+P33,165327,=+(L33+M33)/R33
New  Jersey,0,0,0,0,0,1,=+J34+K34,=+L34+M34,2124,9726,=8110+5734,33716,=+J34+L34,=+L34/N34,=+K34+M34,=+M34/P34,=+N34+P34,701627,=+(L34+M34)/R34
New  Mexico,0,0,0,0,0,0,=+J35+K35,=+L35+M35,3659,7989,=1202+2,5600,=+J35+L35,=+L35/N35,=+K35+M35,=+M35/P35,=+N35+P35,107812,=+(L35+M35)/R35
New  York,0,1,0,0,0,1,=+J36+K36,=+L36+M36,5381,24961,=14475+14327,50737,=+J36+L36,=+L36/N36,=+K36+M36,=+M36/P36,=+N36+P36,2446441,=+(L36+M36)/R36
North  Carolina,0,0,0,1,0,0,=+J37+K37,=+L37+M37,6237,27529,=6050+2464,25258,=+J37+L37,=+L37/N37,=+K37+M37,=+M37/P37,=+N37+P37,449754,=+(L37+M37)/R37
North  Dakota,0,0,0,0,0,0,=+J38+K38,=+L38+M38,1012,3485,188,1387,=+J38+L38,=+L38/N38,=+K38+M38,=+M38/P38,=+N38+P38,86607,=+(L38+M38)/R38
Ohio,0,0,0,0,1,0,=+J39+K39,=+L39+M39,8276,29153,=15929+3608,38255,=+J39+L39,=+L39/N39,=+K39+M39,=+M39/P39,=+N39+P39,964768,=+(L39+M39)/R39
Oklahoma,0,0,0,0,0,0,=+J40+K40,=+L40+M40,3705,13662,=3365+1831,12556,=+J40+L40,=+L40/N40,=+K40+M40,=+M40/P40,=+N40+P40,206423,=+(L40+M40)/R40
Oregon,0,0,0,0,0,0,=+J41+K41,=+L41+M41,3812,11724,=2966+971,8453,=+J41+L41,=+L41/N41,=+K41+M41,=+M41/P41,=+N41+P41,296451,=+(L41+M41)/R41
Pennsylvania,0,0,0,0,0,1,=+J42+K42,=+L42+M42,7381,29968,=8839+4656,38356,=+J42+L42,=+L42/N42,=+K42+M42,=+M42/P42,=+N42+P42,1509092,=+(L42+M42)/R42
Rhode  Island,0,0,0,0,0,1,=+J43+K43,=+L43+M43,278,851,=1407+601,4422,=+J43+L43,=+L43/N43,=+K43+M43,=+M43/P43,=+N43+P43,40852,=+(L43+M43)/R43
South  Carolina,0,0,0,1,0,0,=+J44+K44,=+L44+M44,5945,15168,=2427+589,10920,=+J44+L44,=+L44/N44,=+K44+M44,=+M44/P44,=+N44+P44,200199,=+(L44+M44)/R44
South  Dakota,0,0,0,0,0,0,=+J45+K45,=+L45+M45,1354,4324,=229+17,1294,=+J45+L45,=+L45/N45,=+K45+M45,=+M45/P45,=+N45+P45,105428,=+(L45+M45)/R45
Tennessee,0,0,0,1,0,0,=+J46+K46,=+L46+M46,6603,15998,=6473+871,20049,=+J46+L46,=+L46/N46,=+K46+M46,=+M46/P46,=+N46+P46,417781,=+(L46+M46)/R46
Texas,0,0,0,1,0,0,=+J47+K47,=+L47+M47,12612,44556,=23998+15234,66929,=+J47+L47,=+L47/N47,=+K47+M47,=+M47/P47,=+N47+P47,1463095,=+(L47+M47)/R47
Utah,0,0,0,0,0,0,=+J48+K48,=+L48+M48,2309,3633,=3321+90,6954,=+J48+L48,=+L48/N48,=+K48+M48,=+M48/P48,=+N48+P48,133474,=+(L48+M48)/R48
Vermont,0,0,0,0,0,1,=+J49+K49,=+L49+M49,1011,3304,=284+51,1369,=+J49+L49,=+L49/N49,=+K49+M49,=+M49/P49,=+N49+P49,90151,=+(L49+M49)/R49
Virginia,0,0,0,1,0,0,=+J50+K50,=+L50+M50,7511,22259,=8174+2263,23240,=+J50+L50,=+L50/N50,=+K50+M50,=+M50/P50,=+N50+P50,655777,=+(L50+M50)/R50
Washington,0,0,0,0,0,0,=+J51+K51,=+L51+M51,3563,13129,=8350+3841,20503,=+J51+L51,=+L51/N51,=+K51+M51,=+M51/P51,=+N51+P51,463608,=+(L51+M51)/R51
West  Virginia,0,0,0,1,0,0,=+J52+K52,=+L52+M52,2979,8853,=1169+414,3063,=+J52+L52,=+L52/N52,=+K52+M52,=+M52/P52,=+N52+P52,209882,=+(L52+M52)/R52
