STATE,PUBLIC ROAD AND STREET MILES (HM-20) p. V14,,,,,,,
,RURAL,RURAL,RURAL ,URBAN,OTHER ,URBAN,URBAN,
,INTERSTATE,LOCAL,TOTAL,INTERSTATE,FWY&EXPWY,LOCAL,TOTAL,
,MILRURINT,MILRURLOC,MILRURTOT,MILURBINT,MILURBFWY,MILURBLOC,MILURBTOT,MILTOTTOT
Alabama,602,=+D5-B5,72828,297,21,=+H5-E5-F5,19381,=D5+H5
Alaska,1003,=+D6-B6,12107,54,0,=+H6-E6-F6,1742,=D6+H6
Arizona,987,=+D7-B7,39423,202,70,=+H7-E7-F7,16340,=D7+H7
Arkansas,412,=+D8-B8,69597,131,94,=+H8-E8-F8,7595,=D8+H8
California,1356,=+D9-B9,88140,1067,1393,=+H9-E9-F9,81061,=D9+H9
Colorado,768,=+D10-B10,65818,186,216,=+H10-E10-F10,12903,=D10+H10
Connecticut,101,=+D11-B11,8814,242,197,=+H11-E11-F11,11543,=D11+H11
Delaware,0,=+D12-B12,3675,41,9,=+H12-E12-F12,1869,=D12+H12
Dist.  of  Col.,0,=+D13-B13,0,14,19,=+H13-E13-F13,1107,=D13+H13
Florida,1019,=+D14-B14,63630,424,284,=+H14-E14-F14,49178,=D14+H14
Georgia,809,=+D15-B15,84605,434,167,=+H15-E15-F15,26274,=D15+H15
Hawaii,0,=+D16-B16,2307,44,53,=+H16-E16-F16,1799,=D16+H16
Idaho,532,=+D17-B17,55419,79,0,=+H17-E17-F17,3416,=D17+H17
Illinois,1421,=+D18-B18,101784,630,80,=+H18-E18-F18,35181,=D18+H18
Indiana,825,=+D19-B19,73112,313,135,=+H19-E19-F19,19262,=D19+H19
Iowa,636,=+D20-B20,103490,147,0,=+H20-E20-F20,9218,=D20+H20
Kansas,698,=+D21-B21,123676,173,128,=+H21-E21-F21,9580,=D21+H21
Kentucky,540,=+D22-B22,62493,221,93,=+H22-E22-F22,10139,=D22+H22
Louisiana,608,=+D23-B23,45833,263,45,=+H23-E23-F23,13766,=D23+H23
Maine,312,=+D24-B24,19927,54,17,=+H24-E24-F24,2583,=D24+H24
Maryland,227,=+D25-B25,15642,255,224,=+H25-E25-F25,13671,=D25+H25
Massachusetts,162,=+D26-B26,10927,403,199,=+H26-E26-F26,19636,=D26+H26
Michigan,741,=+D27-B27,89485,499,221,=+H27-E27-F27,28174,=D27+H27
Minnesota,681,=+D28-B28,115073,233,130,=+H28-E28-F28,14886,=D28+H28
Mississippi,558,=+D29-B29,64930,127,40,=+H29-E29-F29,7904,=D29+H29
Missouri,812,=+D30-B30,105637,366,276,=+H30-E30-F30,16150,=D30+H30
Montana ,1137,=+D31-B31,67388,53,0,=+H31-E31-F31,2380,=D31+H31
Nebraska,437,=+D32-B32,87648,44,11,=+H32-E32-F32,5054,=D32+H32
Nevada,480,=+D33-B33,41181,65,32,=+H33-E33-F33,4597,=D33+H33
New  Hampshire,176,=+D34-B34,12069,48,40,=+H34-E34-F34,2869,=D34+H34
New  Jersey,113,=+D35-B35,11068,300,306,=+H35-E35-F35,24029,=D35+H35
New  Mexico,907,=+D36-B36,54961,91,3,=+H36-E36-F36,5851,=D36+H36
New  York,797,=+D37-B37,72589,703,857,=+H37-E37-F37,39293,=D37+H37
North  Carolina,633,=+D38-B38,74305,337,260,=+H38-E38-F38,21723,=D38+H38
North  Dakota,531,=+D39-B39,84909,40,0,=+H39-E39-F39,1818,=D39+H39
Ohio,847,=+D40-B40,82255,726,381,=+H40-E40-F40,31568,=D40+H40
Oklahoma,715,=+D41-B41,99673,214,136,=+H41-E41-F41,12794,=D41+H41
Oregon,581,=+D42-B42,86008,146,53,=+H42-E42-F42,10028,=D42+H42
Pennsylvania,1079,=+D43-B43,84422,509,485,=+H43-E43-F43,32616,=D43+H43
Rhode  Island,21,=+D44-B44,1334,49,68,=+H44-E44-F44,4723,=D44+H44
South  Carolina,668,=+D45-B45,53637,142,70,=+H45-E45-F45,10521,=D45+H45
South  Dakota,631,=+D46-B46,81445,47,3,=+H46-E46-F46,1860,=D46+H46
Tennessee,740,=+D47-B47,68516,322,114,=+H47-E47-F47,16521,=D47+H47
Texas,2203,=+D48-B48,215010,1031,1212,=+H48-E48-F48,79132,=D48+H48
Utah,769,=+D49-B49,34402,168,9,=+H49-E49-F49,6106,=D49+H49
Vermont,280,=+D50-B50,12842,40,20,=+H50-E50-F50,1324,=D50+H50
Virginia,788,=+D51-B51,52848,318,194,=+H51-E51-F51,15581,=D51+H51
Washington,501,=+D52-B52,62210,262,302,=+H52-E52-F52,17218,=D52+H52
West  Virginia,456,=+D53-B53,31908,94,9,=+H53-E53-F53,3137,=D53+H53
Wisconsin,495,=+D54-B54,95387,143,178,=+H54-E54-F54,15591,=D54+H54
Wyoming,827,=+D55-B55,35256,87,3,=+H55-E55-F55,2386,=D55+H55
Undistributed,,,,,,,,=D56+H56
Total,=SUM(B5:B55),=SUM(C5:C55),=SUM(D5:D55),=SUM(E5:E55),=SUM(F5:F55),=SUM(G5:G55),=SUM(H5:H55),=D57+H57
