State,LRMC-Auto ($/mi),LRMC-Comb,LRMC-Sing,LRMC-Truck,,State,SRMC-Auto,SRMC-Comb,SRMC-Sing,SRMC-Truck,LRTE,SRTE,"LRTE = 71,682 Nl 0.183 Nw -0.643 Pk 1.92 Pl  1.176 Pm 0.0445 Ya 0.450 Yc 0.103 Ys 0.149",SRTE = 73.99 Nl 0.126 Nw -0.326 Pk 0.473 Pl  0.605 Pm -0.0271 Ya 0.685 Yc 0.00271 Ys 0.193,Nl,Nw,Pk,Pl,Pm,Ya,Yc,Ys
Alabama,=79221*($R2^1.83)*($S2^0.786)*($T2^0.00492)*0.439*($U2^-0.561)*($V2^0.225)*($W2^0.179)/1000,=79221*($R2^1.83)*($S2^0.786)*($T2^0.00492)*($U2^0.439)*0.225*($V2^-0.775)*($W2^0.179)/1000,=79221*($R2^1.83)*($S2^0.786)*($T2^0.00492)*($U2^0.439)*($V2^0.225)*0.179*($W2^-0.821)/1000,=(C2*V2+D2*W2)/(V2+W2),,Alabama,=73.99*($P2^0.126)*($Q2^-0.326)*($R2^0.473)*($S2^0.605)*($T2^-0.0271)*0.685*($U2^-0.315)*($V2^0.00271)*($W2^0.193)/1000,=73.99*($P2^0.126)*($Q2^-0.326)*($R2^0.473)*($S2^0.605)*($T2^-0.0271)*($U2^0.685)*0.00271*($V2^-0.997)*($W2^0.193)/1000,=73.99*($P2^0.126)*($Q2^-0.326)*($R2^0.473)*($S2^0.605)*($T2^-0.0271)*($U2^0.685)*($V2^0.00271)*0.193*($W2^-0.803)/1000,=+(I2*V2+J2*W2)/(V2+W2),838159.732,287785,=71682*($P2^0.183)*($Q2^-0.643)*($R2^1.92)*($S2^1.176)*($T2^0.0445)*($U2^0.45)*($V2^0.103)*($W2^0.149),=73.99*($P2^0.126)*($Q2^-0.326)*($R2^0.473)*($S2^0.605)*($T2^-0.0271)*($U2^0.685)*($V2^0.00271)*($W2^0.193),92209,3.01088819203367,0.0515,0.921233519346634,1.35513024986709,29460.873,7136.844,9164.283
Alaska,=79221*($R3^1.83)*($S3^0.786)*($T3^0.00492)*0.439*($U3^-0.561)*($V3^0.225)*($W3^0.179)/1000,=79221*($R3^1.83)*($S3^0.786)*($T3^0.00492)*($U3^0.439)*0.225*($V3^-0.775)*($W3^0.179)/1000,=79221*($R3^1.83)*($S3^0.786)*($T3^0.00492)*($U3^0.439)*($V3^0.225)*0.179*($W3^-0.821)/1000,=+(C3*V3+D3*W3)/(V3+W3),,Alaska,=73.99*($P3^0.126)*($Q3^-0.326)*($R3^0.473)*($S3^0.605)*($T3^-0.0271)*0.685*($U3^-0.315)*($V3^0.00271)*($W3^0.193)/1000,=73.99*($P3^0.126)*($Q3^-0.326)*($R3^0.473)*($S3^0.605)*($T3^-0.0271)*($U3^0.685)*0.00271*($V3^-0.997)*($W3^0.193)/1000,=73.99*($P3^0.126)*($Q3^-0.326)*($R3^0.473)*($S3^0.605)*($T3^-0.0271)*($U3^0.685)*($V3^0.00271)*0.193*($W3^-0.803)/1000,=+(I3*V3+J3*W3)/(V3+W3),103604,103604,=71682*(P3^0.183)*(Q3^-0.643)*(R3^1.92)*(S3^1.176)*(T3^0.0445)*(U3^0.45)*(V3^0.103)*(W3^0.149),=73.99*(P3^0.126)*(Q3^-0.326)*(R3^0.473)*(S3^0.605)*(T3^-0.0271)*(U3^0.685)*(V3^0.00271)*(W3^0.193),13849,3.08165671868817,0.0515,1.39661033340936,1.69537480063796,2723.331,1056.697,60.9720000000001
Arizona,=79221*($R4^1.83)*($S4^0.786)*($T4^0.00492)*0.439*($U4^-0.561)*($V4^0.225)*($W4^0.179)/1000,=79221*($R4^1.83)*($S4^0.786)*($T4^0.00492)*($U4^0.439)*0.225*($V4^-0.775)*($W4^0.179)/1000,=79221*($R4^1.83)*($S4^0.786)*($T4^0.00492)*($U4^0.439)*($V4^0.225)*0.179*($W4^-0.821)/1000,=+(C4*V4+D4*W4)/(V4+W4),,Arizona,=73.99*($P4^0.126)*($Q4^-0.326)*($R4^0.473)*($S4^0.605)*($T4^-0.0271)*0.685*($U4^-0.315)*($V4^0.00271)*($W4^0.193)/1000,=73.99*($P4^0.126)*($Q4^-0.326)*($R4^0.473)*($S4^0.605)*($T4^-0.0271)*($U4^0.685)*0.00271*($V4^-0.997)*($W4^0.193)/1000,=73.99*($P4^0.126)*($Q4^-0.326)*($R4^0.473)*($S4^0.605)*($T4^-0.0271)*($U4^0.685)*($V4^0.00271)*0.193*($W4^-0.803)/1000,=+(I4*V4+J4*W4)/(V4+W4),718978.26,217812,=71682*(P4^0.183)*(Q4^-0.643)*(R4^1.92)*(S4^1.176)*(T4^0.0445)*(U4^0.45)*(V4^0.103)*(W4^0.149),=73.99*(P4^0.126)*(Q4^-0.326)*(R4^0.473)*(S4^0.605)*(T4^-0.0271)*(U4^0.685)*(V4^0.00271)*(W4^0.193),55763,3.02788347401141,0.0525,0.920018851529052,1.19191919191919,20434.709,10642.868,3969.423
Arkansas,=79221*($R5^1.83)*($S5^0.786)*($T5^0.00492)*0.439*($U5^-0.561)*($V5^0.225)*($W5^0.179)/1000,=79221*($R5^1.83)*($S5^0.786)*($T5^0.00492)*($U5^0.439)*0.225*($V5^-0.775)*($W5^0.179)/1000,=79221*($R5^1.83)*($S5^0.786)*($T5^0.00492)*($U5^0.439)*($V5^0.225)*0.179*($W5^-0.821)/1000,=+(C5*V5+D5*W5)/(V5+W5),,Arkansas,=73.99*($P5^0.126)*($Q5^-0.326)*($R5^0.473)*($S5^0.605)*($T5^-0.0271)*0.685*($U5^-0.315)*($V5^0.00271)*($W5^0.193)/1000,=73.99*($P5^0.126)*($Q5^-0.326)*($R5^0.473)*($S5^0.605)*($T5^-0.0271)*($U5^0.685)*0.00271*($V5^-0.997)*($W5^0.193)/1000,=73.99*($P5^0.126)*($Q5^-0.326)*($R5^0.473)*($S5^0.605)*($T5^-0.0271)*($U5^0.685)*($V5^0.00271)*0.193*($W5^-0.803)/1000,=+(I5*V5+J5*W5)/(V5+W5),479553.448,181099,=71682*(P5^0.183)*(Q5^-0.643)*(R5^1.92)*(S5^1.176)*(T5^0.0445)*(U5^0.45)*(V5^0.103)*(W5^0.149),=73.99*(P5^0.126)*(Q5^-0.326)*(R5^0.473)*(S5^0.605)*(T5^-0.0271)*(U5^0.685)*(V5^0.00271)*(W5^0.193),77192,3.00925140893557,0.0515,0.838967380792226,1.39712918660287,14028.824,3205.316,5846.86
California,=79221*($R6^1.83)*($S6^0.786)*($T6^0.00492)*0.439*($U6^-0.561)*($V6^0.225)*($W6^0.179)/1000,=79221*($R6^1.83)*($S6^0.786)*($T6^0.00492)*($U6^0.439)*0.225*($V6^-0.775)*($W6^0.179)/1000,=79221*($R6^1.83)*($S6^0.786)*($T6^0.00492)*($U6^0.439)*($V6^0.225)*0.179*($W6^-0.821)/1000,=+(C6*V6+D6*W6)/(V6+W6),,California,=73.99*($P6^0.126)*($Q6^-0.326)*($R6^0.473)*($S6^0.605)*($T6^-0.0271)*0.685*($U6^-0.315)*($V6^0.00271)*($W6^0.193)/1000,=73.99*($P6^0.126)*($Q6^-0.326)*($R6^0.473)*($S6^0.605)*($T6^-0.0271)*($U6^0.685)*0.00271*($V6^-0.997)*($W6^0.193)/1000,=73.99*($P6^0.126)*($Q6^-0.326)*($R6^0.473)*($S6^0.605)*($T6^-0.0271)*($U6^0.685)*($V6^0.00271)*0.193*($W6^-0.803)/1000,=+(I6*V6+J6*W6)/(V6+W6),5321960.964,2571927,=71682*(P6^0.183)*(Q6^-0.643)*(R6^1.92)*(S6^1.176)*(T6^0.0445)*(U6^0.45)*(V6^0.103)*(W6^0.149),=73.99*(P6^0.126)*(Q6^-0.326)*(R6^0.473)*(S6^0.605)*(T6^-0.0271)*(U6^0.685)*(V6^0.00271)*(W6^0.193),169201,3.05854284372906,0.0535,1.21761246683661,1.53056884635832,217495.083,32116.494,12936.423
Colorado,=79221*($R7^1.83)*($S7^0.786)*($T7^0.00492)*0.439*($U7^-0.561)*($V7^0.225)*($W7^0.179)/1000,=79221*($R7^1.83)*($S7^0.786)*($T7^0.00492)*($U7^0.439)*0.225*($V7^-0.775)*($W7^0.179)/1000,=79221*($R7^1.83)*($S7^0.786)*($T7^0.00492)*($U7^0.439)*($V7^0.225)*0.179*($W7^-0.821)/1000,=+(C7*V7+D7*W7)/(V7+W7),,Colorado,=73.99*($P7^0.126)*($Q7^-0.326)*($R7^0.473)*($S7^0.605)*($T7^-0.0271)*0.685*($U7^-0.315)*($V7^0.00271)*($W7^0.193)/1000,=73.99*($P7^0.126)*($Q7^-0.326)*($R7^0.473)*($S7^0.605)*($T7^-0.0271)*($U7^0.685)*0.00271*($V7^-0.997)*($W7^0.193)/1000,=73.99*($P7^0.126)*($Q7^-0.326)*($R7^0.473)*($S7^0.605)*($T7^-0.0271)*($U7^0.685)*($V7^0.00271)*0.193*($W7^-0.803)/1000,=+(I7*V7+J7*W7)/(V7+W7),688811.57,274625,=71682*(P7^0.183)*(Q7^-0.643)*(R7^1.92)*(S7^1.176)*(T7^0.0445)*(U7^0.45)*(V7^0.103)*(W7^0.149),=73.99*(P7^0.126)*(Q7^-0.326)*(R7^0.473)*(S7^0.605)*(T7^-0.0271)*(U7^0.685)*(V7^0.00271)*(W7^0.193),78721,3.01831807997023,0.0525,1.00780620743611,1.50717703349282,26874.1,1377.548,2556.352
Connecticut,=79221*($R8^1.83)*($S8^0.786)*($T8^0.00492)*0.439*($U8^-0.561)*($V8^0.225)*($W8^0.179)/1000,=79221*($R8^1.83)*($S8^0.786)*($T8^0.00492)*($U8^0.439)*0.225*($V8^-0.775)*($W8^0.179)/1000,=79221*($R8^1.83)*($S8^0.786)*($T8^0.00492)*($U8^0.439)*($V8^0.225)*0.179*($W8^-0.821)/1000,=+(C8*V8+D8*W8)/(V8+W8),,Connecticut,=73.99*($P8^0.126)*($Q8^-0.326)*($R8^0.473)*($S8^0.605)*($T8^-0.0271)*0.685*($U8^-0.315)*($V8^0.00271)*($W8^0.193)/1000,=73.99*($P8^0.126)*($Q8^-0.326)*($R8^0.473)*($S8^0.605)*($T8^-0.0271)*($U8^0.685)*0.00271*($V8^-0.997)*($W8^0.193)/1000,=73.99*($P8^0.126)*($Q8^-0.326)*($R8^0.473)*($S8^0.605)*($T8^-0.0271)*($U8^0.685)*($V8^0.00271)*0.193*($W8^-0.803)/1000,=+(I8*V8+J8*W8)/(V8+W8),589285.678,142057,=71682*(P8^0.183)*(Q8^-0.643)*(R8^1.92)*(S8^1.176)*(T8^0.0445)*(U8^0.45)*(V8^0.103)*(W8^0.149),=73.99*(P8^0.126)*(Q8^-0.326)*(R8^0.473)*(S8^0.605)*(T8^-0.0271)*(U8^0.685)*(V8^0.00271)*(W8^0.193),20357,3.06535734272844,0.0515,1.30006264596944,1.72248803827751,21789.372,3241.828,1427.8
Delaware,=79221*($R9^1.83)*($S9^0.786)*($T9^0.00492)*0.439*($U9^-0.561)*($V9^0.225)*($W9^0.179)/1000,=79221*($R9^1.83)*($S9^0.786)*($T9^0.00492)*($U9^0.439)*0.225*($V9^-0.775)*($W9^0.179)/1000,=79221*($R9^1.83)*($S9^0.786)*($T9^0.00492)*($U9^0.439)*($V9^0.225)*0.179*($W9^-0.821)/1000,=+(C9*V9+D9*W9)/(V9+W9),,Delaware,=73.99*($P9^0.126)*($Q9^-0.326)*($R9^0.473)*($S9^0.605)*($T9^-0.0271)*0.685*($U9^-0.315)*($V9^0.00271)*($W9^0.193)/1000,=73.99*($P9^0.126)*($Q9^-0.326)*($R9^0.473)*($S9^0.605)*($T9^-0.0271)*($U9^0.685)*0.00271*($V9^-0.997)*($W9^0.193)/1000,=73.99*($P9^0.126)*($Q9^-0.326)*($R9^0.473)*($S9^0.605)*($T9^-0.0271)*($U9^0.685)*($V9^0.00271)*0.193*($W9^-0.803)/1000,=+(I9*V9+J9*W9)/(V9+W9),241810.132,116311,=71682*(P9^0.183)*(Q9^-0.643)*(R9^1.92)*(S9^1.176)*(T9^0.0445)*(U9^0.45)*(V9^0.103)*(W9^0.149),=73.99*(P9^0.126)*(Q9^-0.326)*(R9^0.473)*(S9^0.605)*(T9^-0.0271)*(U9^0.685)*(V9^0.00271)*(W9^0.193),5544,3,0.0495,1.05245445176116,1.4274322169059,5356.445,1060.164,475.391
Dist.  of  Col.,=79221*($R10^1.83)*($S10^0.786)*($T10^0.00492)*0.439*($U10^-0.561)*($V10^0.225)*($W10^0.179)/1000,=79221*($R10^1.83)*($S10^0.786)*($T10^0.00492)*($U10^0.439)*0.225*($V10^-0.775)*($W10^0.179)/1000,=79221*($R10^1.83)*($S10^0.786)*($T10^0.00492)*($U10^0.439)*($V10^0.225)*0.179*($W10^-0.821)/1000,=+(C10*V10+D10*W10)/(V10+W10),,Dist.  of  Col.,=73.99*($P10^0.126)*($Q10^-0.326)*($R10^0.473)*($S10^0.605)*($T10^-0.0271)*0.685*($U10^-0.315)*($V10^0.00271)*($W10^0.193)/1000,=73.99*($P10^0.126)*($Q10^-0.326)*($R10^0.473)*($S10^0.605)*($T10^-0.0271)*($U10^0.685)*0.00271*($V10^-0.997)*($W10^0.193)/1000,=73.99*($P10^0.126)*($Q10^-0.326)*($R10^0.473)*($S10^0.605)*($T10^-0.0271)*($U10^0.685)*($V10^0.00271)*0.193*($W10^-0.803)/1000,=+(I10*V10+J10*W10)/(V10+W10),47669,47669,=71682*(P10^0.183)*(Q10^-0.643)*(R10^1.92)*(S10^1.176)*(T10^0.0445)*(U10^0.45)*(V10^0.103)*(W10^0.149),=73.99*(P10^0.126)*(Q10^-0.326)*(R10^0.473)*(S10^0.605)*(T10^-0.0271)*(U10^0.685)*(V10^0.00271)*(W10^0.193),1107,3,0.0525,1.61421991333493,2.89686337054758,3458.702,92.612,10.6860000000002
Florida,=79221*($R11^1.83)*($S11^0.786)*($T11^0.00492)*0.439*($U11^-0.561)*($V11^0.225)*($W11^0.179)/1000,=79221*($R11^1.83)*($S11^0.786)*($T11^0.00492)*($U11^0.439)*0.225*($V11^-0.775)*($W11^0.179)/1000,=79221*($R11^1.83)*($S11^0.786)*($T11^0.00492)*($U11^0.439)*($V11^0.225)*0.179*($W11^-0.821)/1000,=+(C11*V11+D11*W11)/(V11+W11),,Florida,=73.99*($P11^0.126)*($Q11^-0.326)*($R11^0.473)*($S11^0.605)*($T11^-0.0271)*0.685*($U11^-0.315)*($V11^0.00271)*($W11^0.193)/1000,=73.99*($P11^0.126)*($Q11^-0.326)*($R11^0.473)*($S11^0.605)*($T11^-0.0271)*($U11^0.685)*0.00271*($V11^-0.997)*($W11^0.193)/1000,=73.99*($P11^0.126)*($Q11^-0.326)*($R11^0.473)*($S11^0.605)*($T11^-0.0271)*($U11^0.685)*($V11^0.00271)*0.193*($W11^-0.803)/1000,=+(I11*V11+J11*W11)/(V11+W11),2132756.22,897504,=71682*(P11^0.183)*(Q11^-0.643)*(R11^1.92)*(S11^1.176)*(T11^0.0445)*(U11^0.45)*(V11^0.103)*(W11^0.149),=73.99*(P11^0.126)*(Q11^-0.326)*(R11^0.473)*(S11^0.605)*(T11^-0.0271)*(U11^0.685)*(V11^0.00271)*(W11^0.193),112808,3.0275318527805,0.0515,0.998088864895451,1.01116427432217,96026.289,14094.558,9747.153
