State,L - Total Miles,L - % Freeway,L - % Urban,W - % UrbFwy > 4 lanes,W - % RurFwy > 4 lanes,Nw
Alabama,92209,0.00997733409970827,0.210185556724398,0.144781144781145,0,3.01088819203367
Alaska,13849,0.0763232002310636,0.125785255253087,0.185185185185185,0,3.08165671868817
Arizona,55763,0.0225776948872909,0.29302584150781,0.267326732673267,0,3.02788347401141
Arkansas,77192,0.00825215048191523,0.0983910249766815,0.343511450381679,0.00728155339805825,3.00925140893557
California,169201,0.0225530581970556,0.479081092901342,0.880974695407685,0.210914454277286,3.05854284372906
Colorado,78721,0.0148626160744909,0.163907978811245,0.333333333333333,0.02734375,3.01831807997023
Connecticut,20357,0.0265265019403645,0.567028540551162,0.694214876033058,0.217821782178218,3.06535734272844
Delaware,5544,0.00901875901875902,0.337121212121212,0.731707317073171,NA,=#REF!
Dist.  of  Col.,1107,0.029810298102981,1,0.714285714285714,NA,=#REF!
Florida,112808,0.0153091979292249,0.435944259272392,0.483490566037736,0.098135426889107,3.0275318527805
Georgia,110879,0.0127165649040846,0.236961011553135,0.624423963133641,0.142150803461063,3.02249931932024
Hawaii,4106,0.0236239649293717,0.438139308329274,0.863636363636364,NA,=#REF!
Idaho,58835,0.0103849749298887,0.0580606781677573,0.0253164556962025,0,3.01043076926056
Illinois,136965,0.0155587193808637,0.256861241923119,0.493650793650794,0.0197044334975369,3.02216072981059
Indiana,92374,0.0137809340290558,0.208521878450646,0.405750798722045,0.0448484848484848,3.01874639115114
Iowa,112708,0.00694715548142102,0.0817865635092451,0.306122448979592,0.0471698113207547,3.00837164173669
Kansas,133256,0.00749684817193973,0.0718916971843669,0.421965317919075,0,3.00817911689654
Kentucky,72632,0.0117579028527371,0.139594118294966,0.384615384615385,0.05,3.01516923518577
Louisiana,59599,0.0153693853923724,0.230977029815937,0.330798479087452,0.0115131578947368,3.01930060058751
Maine,22510,0.017014660151044,0.114749000444247,0.0185185185185185,0.0416666666666667,3.01900590827789
Maryland,29313,0.0240848770170232,0.466380104390543,0.733333333333333,0.541850220264317,3.06968868614359
Massachusetts,30563,0.0249975460524163,0.642476196708438,0.801488833746898,0.364197530864198,3.07337880538279
Michigan,117659,0.0124172396501755,0.239454695348422,0.603206412825651,0.124156545209177,3.02131545662924
Minnesota,129959,0.00803330281088651,0.114543817665571,0.454935622317597,0.0293685756240822,3.00991585871892
Mississippi,72834,0.00995414229618036,0.10852074580553,0,0,3.00995414229618
Missouri,121787,0.0119388768916223,0.132608570701306,0.573770491803279,0.0061576354679803,3.01485535224272
Montana ,69768,0.017056530214425,0.0341130604288499,0,0,3.01705653021443
Nebraska,92702,0.00530732886021877,0.0545187806088326,0.25,0,3.00552434068353
Nevada,45778,0.0126043077460789,0.100419415439731,0.307692307692308,0,3.0137726620992
New  Hampshire,14938,0.0176730486008837,0.192060516802785,0.270833333333333,0.119318181818182,3.02554205797405
New  Jersey,35097,0.0204860814314614,0.684645411288714,0.82,0.495575221238938,3.06459411990633
New  Mexico,60812,0.0164605669933566,0.0962145629152141,0.285714285714286,0.0110253583241455,3.01831013062442
New  York,111882,0.0210668382760408,0.351200371820311,0.547652916073969,0.0652446675031368,3.03589788971131
North  Carolina,96028,0.0128087641104678,0.226215270546091,0.258160237388724,0.028436018957346,3.01589835887155
North  Dakota,86727,0.00658387814636734,0.0209623300702203,0.075,0,3.00661493116741
Ohio,113823,0.017167004911134,0.277342892034123,0.292011019283747,0.0177095631641086,3.02199703387615
Oklahoma,112467,0.00946944437034864,0.113757813403043,0.336448598130841,0,3.0105567351634
Oregon,96036,0.00812195426714982,0.10441917614228,0.397260273972603,0.036144578313253,3.00992142152199
Pennsylvania,117038,0.0177121960388934,0.278678719732053,0.218074656188605,0.0166821130676552,3.02158085470849
Rhode  Island,6057,0.0227835562159485,0.779758956579165,0.673469387755102,0,3.0586774851994
South  Carolina,64158,0.0137161382836123,0.163985785093052,0.359154929577465,0.0239520958083832,3.01696359569449
South  Dakota,83305,0.0081747794250045,0.0223275913810696,0,0,3.008174779425
Tennessee,85037,0.013829274315886,0.194280136881593,0.437888198757764,0.0337837837837838,3.018488076576
Texas,294142,0.015115148465707,0.269026524603763,0.53831231813773,0.0204266908760781,3.02235915870122
Utah,40508,0.0233534116717685,0.150735657154142,0.660714285714286,0.0221066319895969,3.03164627188816
Vermont,14166,0.024001129464916,0.0934632217986729,0,0,3.02400112946492
Virginia,68429,0.0189977933332359,0.227695859942422,0.433962264150943,0.149746192893401,3.03122065149318
Washington,79428,0.0134083698443874,0.216774940826912,0.603053435114504,0.191616766467066,3.02470381897398
West  Virginia,35045,0.0159509202453988,0.0895134826651448,0.0957446808510638,0.0504385964912281,3.01855861346459
Wisconsin,110978,0.00735280866478041,0.14048730378994,0.391608391608392,0.101010101010101,3.01048147591276
Wyoming,37642,0.0243610860209341,0.0633866425800967,0,0,3.02436108602093
,,,,,,=#REF!
Total,3904721,,,,,3
Average,=+AVERAGE(B2:B52),=+AVERAGE(C2:C52),=+AVERAGE(D2:D52),=+AVERAGE(E2:E52),=+AVERAGE(F2:F52),3.02389669986842
