,PGOVSAL93,PGOVSAL94,PBITCONC93,PEXCAV93,PREINFSTL93,PSTRUCTSTL93,PSTRUCCON93,POP90(THSD),SQMILES,POPDENS=LAND,CAPTOTTOT93,MILTOTTOT93,MILES92,NETMILES,PCAPperMIL93,BONDRATE (Moody's)
Alabama,25028,26376,25.49,1.6,0.419,0.862,217.9,4089,52423,78.0001144535795,470232,92209,92201,8,58779,  AA
Alaska,37943,38889,31.89,1.89,0.464,1.161,855.03,570,591004,0.964460477424857,242000,13849,13634,215,1125.58139534884,  AA
Arizona,24995,25906,22.42,5.21,0.354,1.62,206.73,3750,114006,32.8930056312826,480799,55763,55969,-206,-2333.97572815534,   X
Arkansas,22793,23336,26.28,1.31,0.544,0.674,259.97,2372,53182,44.6015569177541,362332,77192,77162,30,12077.7333333333,  AA
California,33080,33795,28.79,3.15,0.414,1.07,256.86,30380,163707,185.575448820148,2135323,169201,168378,823,2594.56014580802,  A1
Colorado,27380,28148,28.35,2.48,0.362,0.79,201.17,3377,104091,32.4427664255315,341276,78721,78043,678,503.356932153392,   X
Connecticut,35320,36143,32.4,5.33,0.631,0.887,336.99,3291,5544,593.614718614719,588122,20357,20280,77,7637.94805194805,  AA
Delaware,28593,29298,26.85,3.4,0.632,0.632,261.13,680,2489,273.202089192447,205535,5544,5524,20,10276.75, AA1
Dist.  of  Col.,43855,46872,54.49,10.13,0.488,0.898,616,598,67,8925.37313432836,108194,1107,1104,3,36064.6666666667,   X
Florida,27116,27315,19.02,2.51,0.377,0.66,320.1,13277,65758,201.906992305119,1684969,112808,110640,2168,777.199723247232,  AA
Georgia,24431,24890,30.47,2.14,0.399,0.868,308.24,6623,59441,111.421409464848,737696,110879,110790,89,8288.7191011236, AAA
Hawaii,30420,31136,65.14,18.58,0.585,0.585,616.43,1135,6470,175.425038639876,303746,4106,4106,0,NA,  AA
Idaho,22276,23261,21.82,2.79,0.482,0.714,242.58,1039,83574,12.4320961064446,124933,58835,58588,247,505.801619433198,   X
Illinois,29712,30507,29.97,4.26,0.605,0.868,387.64,11543,57918,199.299008943679,1469756,136965,136402,563,2610.57904085258,  A1
Indiana,25309,25876,22.9,6.97,0.474,0.811,295.89,5610,36420,154.036243822076,635631,92374,92054,320,1986.346875,   X
Iowa,24183,24735,22.93,2.17,0.43,0.782,242.23,2795,56276,49.6659321913427,412640,112708,112586,122,3382.29508196721,   X
