,"STATE HIGHWAY AGENCY CAPITAL OUTLAY AND MAINTENANCE - 1993, Table SF-12 p.IV-67",,,,,
,,(thousands of dollars),,,,
STATE,CAPITAL,,,MAINTENANCE,,
,TOTAL (RUR+URB),TOTAL,TOTAL,TOTAL,TOTAL,TOTAL
,INTERSTATE,LOCAL,TOTAL,INTERSTATE,LOCAL,TOTAL
,CAPTOTINT,CAPTOTLOC,CAPTOTTOT,MNTTOTINT,MNTTOTLOC,MNTTOTTOT
Alabama,154832,315400,470232,14420,143448,157868
Alaska,86118,155882,242000,5113,28287,33400
Arizona,114652,366147,480799,NA,=#REF!,68839
Arkansas,32980,329352,362332,8541,84871,93412
California,575406,1559917,2135323,96822,245638,342460
Colorado,173273,168003,341276,25375,99833,125208
Connecticut,213835,374287,588122,4612,44702,49314
Delaware,22297,183238,205535,3083,26036,29119
Dist.  of  Col.,21573,86621,108194,1848,26106,27954
Florida,319475,1365494,1684969,12353,185044,197397
Georgia,225246,512450,737696,12754,150763,163517
Hawaii,211849,91897,303746,2660,12421,15081
Idaho,41998,82935,124933,2653,18804,21457
Illinois,578202,891554,1469756,58289,198693,256982
Indiana,223303,412328,635631,47608,141801,189409
Iowa,116095,296545,412640,15834,42811,58645
Kansas,77026,356572,433598,32518,57057,89575
Kentucky,"""NA",=#REF!,NA,NA,=#REF!,NA
Louisiana,150869,447966,598835,3824,67670,71494
Maine,27284,111181,138465,18835,57743,76578
Maryland,192756,278877,471633,13568,87179,100747
Massachusetts,NA,=#REF!,NA,NA,=#REF!,NA
Michigan,333752,227742,561494,58053,36210,94263
Minnesota,90241,517886,608127,11457,86388,97845
Mississippi,62972,370604,433576,4001,33829,37830
Missouri,138887,361245,500132,39168,116504,155672
Montana ,38304,152045,190349,4005,14396,18401
Nebraska,60790,211736,272526,3746,32962,36708
Nevada,NA,=#REF!,NA,NA,=#REF!,NA
New  Hampshire,51467,120085,171552,4254,53906,58160
New  Jersey,508892,532804,1041696,42906,154803,197709
New  Mexico,90980,225837,316817,NA,=#REF!,52572
New  York,968670,1236553,2205223,110653,176692,287345
North  Carolina,159397,661393,820790,11652,372576,384228
North  Dakota,31913,91173,123086,3523,26518,30041
Ohio,308252,513978,822230,45838,353145,398983
Oklahoma,63297,270184,333481,5559,79505,85064
Oregon,57217,259926,317143,28352,108365,136717
Pennsylvania,610832,674315,1285147,56581,467463,524044
Rhode  Island,28950,192613,221563,6836,21046,27882
South  Carolina,57895,349081,406976,85,127093,127178
South  Dakota,30944,158107,189051,5736,26117,31853
Tennessee,116711,452567,569278,45013,135034,180047
Texas,456383,1522429,1978812,196686,463108,659794
Utah,83487,147507,230994,25800,31700,57500
Vermont,14751,95111,109862,1627,8121,9748
Virginia,106329,519437,625766,100402,328785,429187
Washington,248671,427588,676259,16584,47718,64302
West  Virginia,56170,411269,467439,20419,124596,145015
Wisconsin,63297,586704,650001,6378,67228,73606
Wyoming,42453,116333,158786,6606,23520,30126
Undistributed,,,,,,
Total,8440973,=#REF!,28233871,1242630,=#REF!,6600276
