STATE,"DISTRIBUTION OF ANNUAL VEHICLE MILES BY VEHICLE TYPE - 1993 VM-4 p v121, v124",,,,,
,RURAL,,,URBAN,,
,INTERSTATE,TRUCK-SING,TRUCK-COMB,INTERSTATE,TRUCK-SING,TRUCK-COMB
,RURPASSVEH,RURTRUSING,RURTRUCOM,URBPASSVEH,URBTRUSING,URBTRUCOMB
Alabama,56,16.9,27.1,72.7,14.3,13
Alaska,57.9,39.7,2.4,85.1,14.2,0.700000000000006
Arizona,57.7,26,16.3,58.7,33.2,8.09999999999999
Arkansas,56.5,13.4,30.1,68.8,14.8,16.4
California,69.3,17.2,13.5,86.2,11,2.8
Colorado,79.3,5.3,15.4,92.7,3.9,3.4
Connecticut,79.5,13.1,7.4,83.2,12,4.8
Delaware,100,0,0,63.5,25.2,11.3
Dist.  of  Col.,100,0,0,97.1,2.6,0.300000000000006
Florida,74.8,11.9,13.3,82.3,11.7,6
Georgia,61.1,19.3,19.6,66.7,24.9,8.4
Hawaii,100,0,0,79.3,20.1,0.600000000000001
Idaho,47.8,31.5,20.7,61,31.3,7.7
Illinois,64.7,12.8,22.5,78.1,14.9,7.00000000000001
Indiana,59.2,16.3,24.5,68.7,16.8,14.5
Iowa (*),58.5,13.3,28.2,71.8,12.9,15.3
Kansas,62.8,18,19.2,69.1,25.5,5.40000000000001
Kentucky,55.1,23.9,21,68,25.4,6.6
Louisiana,57,27.1,15.9,63.8,25,11.2
Maine,62.5,26.1,11.4,74.7,22,3.3
Maryland,63.7,17.2,19.1,65.3,33.5,1.2
Massachusetts,74.8,15.5,9.7,85.4,11,3.59999999999999
Michigan,72.2,18.6,9.2,72.7,19.5,7.8
Minnesota (*),76.4,12.7,10.9,83.1,12.5,4.40000000000001
Mississippi,63.9,17.2,18.9,68.1,16.3,15.6
Missouri,63.7,12,24.3,80.2,14.6,5.2
Montana ,53.1,31.6,15.3,67.5,22.9,9.6
Nebraska,50.3,23.6,26.1,68.8,25.5,5.7
Nevada (*),59.5,14.3,26.2,811,13.2,5.70000000000001
New  Hampshire,74.5,21.8,3.7,69.3,27,3.7
New  Jersey,72.5,16.3,11.2,74.4,17.7,7.9
New  Mexico,63.6,15.3,21.1,66,14.7,19.3
New  York,69.5,16.3,14.2,77.4,17.2,5.4
North  Carolina,70.9,7.1,22,74.5,14.3,11.2
North  Dakota,64.6,21.1,14.3,73.3,19.6,7.1
Ohio,67.2,12.6,20.2,79.7,12.2,8.1
Oklahoma (KS),62.8,18,19.2,69.1,25.5,5.40000000000001
Oregon,54.3,29.5,16.2,65.5,28.9,5.6
Pennsylvania,60.5,16.5,23,73.8,16.2,10
Rhode  Island,74.8,16.9,8.3,79.9,14,6.09999999999999
South  Carolina,70.6,10.6,18.8,76.6,12.1,11.3
South  Dakota,72.9,16.4,10.7,80.6,16.9,2.50000000000001
Tennessee,65,13.9,21.1,69.9,20.5,9.59999999999999
Texas,60.5,20.4,19.1,73.2,19.8,7
Utah,60.6,21.6,17.8,73.6,20.7,5.70000000000001
Vermont,80.1,14.8,5.10000000000001,79.7,16,4.3
Virginia,68.8,16.6,14.6,78.1,16.6,5.3
Washington,64.9,24.6,10.5,70,25.6,4.4
West  Virginia,70.1,12.9,17,72.9,15,12.1
Wisconsin,77,9.7,13.3,76.5,14.2,9.3
Wyoming,41.2,24.4,34.4,55.1,34.7,10.2
Undistributed,,,,,,
Total,67.3372549019608,16.5058823529412,16.156862745098,74.5647058823529,18.0411764705882,7.39411764705882
(*) adjust sing truck & cars (move 10% cars --> sing),,,,,,
