,"STATE HIGHWAY AGENCY CAPITAL OUTLAY AND MAINTENANCE - 1993, Table SF-12 p.IV-67-64",,,,,
,,(thousands of dollars),,,,
STATE,CAPITAL,,,MAINTENANCE,,
,URBAN,URBAN,URBAN,URBAN,URBAN,URBAN
,INTERSTATE,LOCAL,TOTAL,INTERSTATE,LOCAL,TOTAL
,CAPURBINT,CAPURBLOC,CAPURBTOT,MNTURBINT,MNTURBLOC,MNTURBTOT
Alabama,125348,77005,202353,7008,87510,94518
Alaska,35459,71217,106676,1369,19907,21276
Arizona,48078,229257,277335,=#REF!,=#REF!,=#REF!
Arkansas,6623,132474,139097,1387,24221,25608
California,513828,881208,1395036,51921,80647,132568
Colorado,92615,88050,180665,7308,36948,44256
Connecticut,183530,329367,512897,3246,26674,29920
Delaware,22297,87042,109339,3083,25363,28446
Dist.  of  Col.,21573,86621,108194,1848,26106,27954
Florida,225241,864268,1089509,3581,111397,114978
Georgia,169131,255256,424387,6644,44293,50937
Hawaii,191402,39912,231314,1960,4246,6206
Idaho,762,7891,8653,346,824,1170
Illinois,365359,334974,700333,36813,124266,161079
Indiana,92677,234936,327613,8989,26980,35969
Iowa,43819,76501,120320,3325,5805,9130
Kansas,42397,72203,114600,14987,16041,31028
Kentucky,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!
Louisiana,94588,238373,332961,2688,7909,10597
Maine,4420,50380,54800,363,7371,7734
Maryland,79085,154176,233261,6980,84597,91577
Massachusetts,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!
Michigan,261891,64799,326690,44295,9639,53934
Minnesota,75321,372047,447368,6115,34480,40595
Mississippi,29423,91401,120824,770,2241,3011
Missouri,77983,107018,185001,22339,13394,35733
Montana ,4706,35328,40034,485,2123,2608
Nebraska,25688,33785,59473,469,7711,8180
Nevada,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!,=#REF!
New  Hampshire,12430,58654,71084,555,9422,9977
New  Jersey,498494,436924,935418,38105,129416,167521
New  Mexico,27850,49279,77129,=#REF!,=#REF!,=#REF!
New  York,659716,1156753,1816469,6566,139131,145697
North  Carolina,64284,356506,420790,2913,285614,288527
North  Dakota,12595,38445,51040,244,1285,1529
Ohio,221034,317734,538768,18514,67884,86398
Oklahoma,49705,155221,204926,2411,5119,7530
Oregon,20270,141847,162117,9788,49226,59014
Pennsylvania,315428,409182,724610,12640,342892,355532
Rhode  Island,24216,172300,196516,4785,16366,21151
South  Carolina,32565,150992,183557,85,111198,111283
South  Dakota,8696,46384,55080,648,1537,2185
Tennessee,79292,109327,188619,18005,27009,45014
Texas,299955,715039,1014994,34146,107606,141752
Utah,47041,69962,117003,13300,11140,24440
Vermont,1240,46248,47488,195,743,938
Virginia,60013,336862,396875,34331,171618,205949
Washington,222494,192792,415286,9553,21089,30642
West  Virginia,18925,120989,139914,5204,59219,64423
Wisconsin,26875,205270,232145,1390,9528,10918
Wyoming,2778,22867,25645,791,1731,2522
Undistributed,0,0,0,0,0,0
Total,5539140,=#REF!,15864206,452488,=#REF!,2973365
