,Ya Auto VMT (millions),Ys Single Truck VMT (Millions),Yc Combination Truck VMT (millions),%URBAN,%FREEWAY
Alabama,29460.873,7136.844,9164.283,0.501704470958437,0.196145273370919
Alaska,2723.331,1056.697,60.9720000000001,0.478000520697735,0.293413173652695
Arizona,20434.709,10642.868,3969.423,0.606585442405912,0.269837646588866
Arkansas,14028.824,3205.316,5846.86,0.348035180451454,0.243273688315064
California,217495.083,32116.494,12936.423,0.801190639425934,0.416000121882475
Colorado,26874.1,1377.548,2556.352,0.591859257335757,0.320046741106206
Connecticut,21789.372,3241.828,1427.8,0.770664046260252,0.405835443516384
Delaware,5356.445,1060.164,475.391,0.610417875798027,0.149013348810215
Dist.  of  Col.,3458.702,92.612,10.6860000000002,1,0.241998877035373
Florida,96026.289,14094.558,9747.153,0.708003804184603,0.221376847865986
Georgia,50160.336,17596.464,10147.2,0.587030191004313,0.281808379544054
Hawaii,6840.974,1189.518,35.5080000000001,0.733696999752046,0.289734688817258
Idaho,5614.716,3383.546,1765.738,0.330453363062059,0.223708658491267
Illinois,64662.366,12465.324,10514.31,0.677620319025125,0.272951324707332
Indiana,36429.524,9441.836,11200.64,0.487454443509952,0.227029015979815
Iowa (*),15135.456,3147.91,5642.634,0.357853381258882,0.20730585973418
Kansas,15884.563,5194.815,3083.622,0.466539750858751,0.236353101849936
Kentucky,23122.463,9346.853,5592.684,0.437943355577742,0.254321895854133
Louisiana,20439.614,8821.947,4593.439,0.496174863387978,0.252015950376606
Maine,7983.189,3040.744,1127.067,0.262282939675747,0.189284832524072
Maryland,27153.256,11948.434,2794.31,0.694433836165744,0.367696200114569
Massachusetts,39503.346,5603.875,2240.779,0.814332178761511,0.367470642899383
Michigan,61071.043,16141.599,7006.358,0.629133568434676,0.263360999299446
Minnesota (*),32867.632,5185.19,3109.178,0.514843787959769,0.260847383509062
Mississippi,17132.877,4434.646,4671.477,0.332253515758985,0.17222455124052
Missouri,38589.988,7125.916,7538.096,0.531152589476847,0.306587298606677
Montana ,4818.087,2517.899,1189.014,0.237302052785924,0.247741935483871
Nebraska,8401.648,3558.115,2661.237,0.387182819232611,0.192941659257233
Nevada (*),54714.985,1487.673,1539.324,0.588969441130586,0.298063687253373
New  Hampshire,7306.891,2387.63,372.479,0.368729512267806,0.247342803218436
New  Jersey,43975.89,10349.67,5084.44,0.800538629860293,0.268776300286147
New  Mexico,11898.768,2782.332,3770.9,0.368740515933232,0.263548666811186
New  York,82650.876,18626.454,8603.67,0.723864908400906,0.311091089451316
North  Carolina,49100.234,7226.782,11210.984,0.500044419437946,0.218410376380704
North  Dakota,4059.537,1257.567,754.896,0.259387351778656,0.197628458498024
Ohio,71212.512,11766.678,12241.81,0.606924943027273,0.292088929962928
Oklahoma ,23173.108,7652.82,4293.072,0.505481363364561,0.253452547054301
Oregon,16551.498,8163.83,3210.672,0.44367256320275,0.277483348850534
Pennsylvania,60862.183,14562.447,13775.37,0.581289237668161,0.234035874439462
Rhode  Island,5982.062,1091.001,485.937,0.850641619261807,0.302420955152798
South  Carolina,25580.754,3924.234,5544.012,0.397614767896374,0.255670632543011
South  Dakota,5380.502,1191.452,646.046,0.213355500138543,0.221668052091992
Tennessee,33838.357,8757.104,7398.539,0.547925751090131,0.278973476817218
Texas,112296.492,32682.15,18350.358,0.649982550557464,0.317420666262574
Utah,11229.492,3429.027,1648.481,0.635616606365365,0.350769608143742
Vermont,4814.403,911.26,293.337,0.283103505565709,0.223625186908124
Virginia,46783.497,10532.202,6131.301,0.530789477831891,0.282881775340048
Washington,33718.908,12475.896,3191.196,0.662009476369821,0.318997286680436
West  Virginia,11681.166,2223.228,2573.606,0.281951693166646,0.276853987134361
Wisconsin,36560.505,5637.411,5430.084,0.474741748551272,0.198202737885278
Wyoming,2785.611,1683.087,1748.302,0.259449895447965,0.324111307704681
Total,=SUM(B2:B52),=SUM(C2:C52),=SUM(D2:D52),,
Average,=AVERAGE(B2:B52),=AVERAGE(C2:C52),=AVERAGE(D2:D52),=AVERAGE(E2:E52),=AVERAGE(F2:F52)
(*) adjust sing truck & cars (move 10% cars --> sing),,,,,
