source_path,package_path,decision,category,label,sha256,size_bytes
/Users/dlev2617/Documents/Papers/Published Papers/FullCostIntercityHighways.pdf,paper/FullCostIntercityHighways.pdf,included,paper,final published paper reference copy,1b575b7c40da9d650011d16287148c780479a1ebe72f83b3b1a2e2b114eb5998,207402
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/4.2-HwyUserCost,documentation/full_cost_report/chapter_four_workpapers/4_2_hwy_user_cost_original_word6.doc,included,documentation,highway user-cost workpaper,542d8dfe00a9bf19b4bf775161e37bcc69f2f59387709d4e8ae0a6bad7f80e68,82944
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/4.3HwyGovtCost,documentation/full_cost_report/chapter_four_workpapers/4_3_hwy_government_cost_original_word6.doc,included,documentation,highway government/infrastructure-cost workpaper,bea2c096933e4bc7da6bb8a7b59bea06b6803cf637687f42acab1666cdc78357,448512
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/AutoOpCosts,documentation/full_cost_report/chapter_four_workpapers/auto_operating_costs_original_word5.doc,included,documentation,auto operating-cost workpaper,31be768579613cd26577269a5e684e477d78cd30a0fe0a3c448d394ebd93403d,17408
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/CostModelingApproach,documentation/full_cost_report/chapter_four_workpapers/highway_cost_modeling_approach_original_word6.doc,included,documentation,highway cost-modeling workpaper,8b86a6b29c2134d7ae5663b56599290596b5c32aeb0451538e95b3a05f9de4e5,9728
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DataMaster,data/highway_full_cost_model/original_legacy/full_cost_project_c4/data_master_original_legacy.xls,included,data,legacy DataMaster workbook,8a562e92699093aff38e26fd0146fc7079db012e30821cc127703e6500c3445f,43008
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DataMaster.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/data_master_export_original.txt,included,data,DataMaster text export,55da5749fb873d874f28ecc0887256495981bc6be0f27f7908c84246f45172d4,19765
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DataMaster.statview512,data/highway_full_cost_model/original_legacy/full_cost_project_c4/data_master_statview512_original.dat,included,data,DataMaster StatView legacy file,739f71384bd2b6f6a927a6f725ae2e56ae41379cb163b1753df1422100a56c44,17730
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DepreciationModel,data/highway_full_cost_model/original_legacy/full_cost_project_c4/depreciation_model_original_legacy.xls,included,data,depreciation model legacy workbook,179e15b57219641d51294592582b94fefaabdfbf8acd5208c51220edb839aafa,40960
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DOT Budget Summary,data/highway_full_cost_model/original_legacy/full_cost_project_c4/dot_budget_summary_original.txt,included,data,DOT budget summary source,7315fb8df0f755dbb6dd27b7ab1cd8010c603344f52f1c71af98d5363222ed9e,52944
